Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.4985905E-3	858.0695934E-3	84.9362001E-3	200.0000030E-3
8.4902401E-3	838.2256645E-3	84.8590960E-3	300.0000119E-3
8.5514282E-3	820.7846939E-3	85.4240832E-3	400.0000060E-3
8.6365644E-3	821.3261023E-3	86.2101977E-3	500.0000000E-3
8.8332329E-3	824.4536618E-3	88.0261581E-3	600.0000238E-3
8.9722557E-3	823.1076052E-3	89.3098399E-3	699.9999881E-3
9.1478040E-3	833.3017565E-3	90.9307848E-3	800.0000119E-3
9.2582620E-3	821.9744997E-3	91.9507111E-3	900.0000358E-3
9.4576238E-3	802.8317743E-3	93.7915398E-3	1.0000000E+0
9.6030838E-3	808.9409795E-3	95.1346615E-3	1.1000000E+0
9.7811293E-3	849.4521894E-3	96.7786637E-3	1.2000000E+0
9.9073434E-3	820.0856623E-3	97.9440757E-3	1.3000001E+0
10.1385022E-3	811.4650605E-3	100.0785064E-3	1.4000000E+0
10.2690397E-3	817.7198546E-3	101.2838388E-3	1.5000000E+0
10.4339514E-3	815.0990807E-3	102.8065685E-3	1.6000000E+0
10.6094086E-3	823.9385764E-3	104.4266721E-3	1.7000000E+0
10.7742515E-3	811.9271388E-3	105.9487674E-3	1.8000001E+0
10.9501998E-3	816.0546826E-3	107.5734052E-3	1.9000000E+0
11.0746508E-3	834.5362592E-3	108.7225375E-3	2.0000000E+0
11.3286846E-3	822.9184799E-3	111.0681865E-3	2.1000001E+0
11.4332042E-3	812.5578173E-3	112.0332797E-3	2.2000000E+0
11.6239337E-3	830.7776756E-3	113.7944019E-3	2.3000000E+0
11.7928313E-3	873.2702168E-3	115.3539363E-3	2.4000001E+0
11.9447343E-3	821.6163050E-3	116.7565491E-3	2.5000000E+0
12.1661397E-3	819.3510434E-3	118.8009205E-3	2.6000001E+0
12.2937393E-3	837.2633361E-3	119.9791252E-3	2.7000000E+0
12.4885994E-3	848.8943827E-3	121.7783880E-3	2.8000000E+0
12.6532407E-3	847.3101295E-3	123.2986211E-3	2.9000001E+0
12.7903870E-3	815.7080116E-3	124.5649765E-3	3.0000000E+0
13.0175654E-3	792.6728954E-3	126.6626541E-3	3.1000001E+0
13.1738421E-3	775.4474297E-3	128.1056515E-3	3.2000000E+0
13.3334153E-3	806.7116509E-3	129.5790882E-3	3.3000000E+0
13.5089317E-3	842.2424691E-3	131.1997386E-3	3.4000001E+0
13.7222032E-3	871.0410946E-3	133.1690047E-3	3.5000000E+0
13.8668091E-3	848.6827104E-3	134.5042393E-3	3.6000001E+0
14.0599766E-3	850.7558395E-3	136.2878724E-3	3.7000000E+0
14.2187051E-3	854.9818146E-3	137.7535097E-3	3.8000000E+0
14.3920923E-3	870.7054869E-3	139.3544991E-3	3.9000001E+0
14.5334873E-3	844.9300125E-3	140.6600863E-3	4.0000000E+0
14.7437617E-3	828.2736090E-3	142.6016778E-3	4.0999999E+0
14.9248535E-3	819.1572191E-3	144.2738084E-3	4.2000003E+0
15.1025168E-3	826.3199933E-3	145.9142823E-3	4.3000002E+0
15.2909782E-3	826.6694085E-3	147.6544616E-3	4.4000001E+0
15.4675924E-3	859.9711560E-3	149.2852481E-3	4.5000000E+0
15.6178049E-3	851.9579531E-3	150.6722518E-3	4.5999999E+0
15.8438247E-3	887.0805717E-3	152.7592310E-3	4.7000003E+0
16.0319146E-3	853.0245417E-3	154.4959800E-3	4.8000002E+0
16.2055216E-3	832.2468876E-3	156.0989992E-3	4.9000001E+0
16.3676774E-3	829.0047099E-3	157.5962829E-3	5.0000000E+0
16.5338538E-3	831.9820330E-3	159.1306911E-3	5.0999999E+0
16.7071463E-3	856.3663062E-3	160.7308062E-3	5.2000003E+0
16.9176883E-3	883.8230221E-3	162.6748686E-3	5.3000002E+0
