Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.4334490E-3	-419.5691574E-3	84.3347096E-3	200.0000030E-3
8.4367284E-3	-424.6024277E-3	84.3649896E-3	300.0000119E-3
8.5312493E-3	-458.2465545E-3	85.2377590E-3	400.0000060E-3
8.6300534E-3	-430.2095466E-3	86.1500773E-3	500.0000000E-3
8.7509475E-3	-408.9935528E-3	87.2663665E-3	600.0000238E-3
8.9304655E-3	-425.1068302E-3	88.9239660E-3	699.9999881E-3
9.1003558E-3	-415.2833411E-3	90.4926669E-3	800.0000119E-3
9.2669736E-3	-406.6449584E-3	92.0311502E-3	900.0000358E-3
9.4216754E-3	-406.3307127E-3	93.4596062E-3	1.0000000E+0
9.6325419E-3	-418.2410418E-3	95.4066656E-3	1.1000000E+0
9.7648849E-3	-414.4809210E-3	96.6286697E-3	1.2000000E+0
9.9403908E-3	-392.4786476E-3	98.2492221E-3	1.3000001E+0
10.0940512E-3	-395.9214329E-3	99.6680630E-3	1.4000000E+0
10.2533239E-3	-393.6493417E-3	101.1387245E-3	1.5000000E+0
10.4031598E-3	-430.6140735E-3	102.5222515E-3	1.6000000E+0
10.5818863E-3	-413.4687838E-3	104.1725417E-3	1.7000000E+0
10.7535737E-3	-389.3372534E-3	105.7578368E-3	1.8000001E+0
10.9169759E-3	-388.8197539E-3	107.2666288E-3	1.9000000E+0
11.1164220E-3	-370.4431236E-3	109.1082364E-3	2.0000000E+0
11.2514672E-3	-411.6498986E-3	110.3551913E-3	2.1000001E+0
11.4363907E-3	-406.1957501E-3	112.0627029E-3	2.2000000E+0
11.6049989E-3	-385.3616948E-3	113.6195653E-3	2.3000000E+0
11.7693480E-3	-403.6215456E-3	115.1371006E-3	2.4000001E+0
11.9431505E-3	-409.1251677E-3	116.7419252E-3	2.5000000E+0
12.1145492E-3	-361.2690222E-3	118.3245536E-3	2.6000001E+0
12.2909684E-3	-400.0655040E-3	119.9535398E-3	2.7000000E+0
12.4557325E-3	-425.4250478E-3	121.4749078E-3	2.8000000E+0
12.6481022E-3	-395.5171640E-3	123.2511748E-3	2.9000001E+0
12.8006739E-3	-396.7087081E-3	124.6599621E-3	3.0000000E+0
12.9734429E-3	-404.4754252E-3	126.2552438E-3	3.1000001E+0
13.1850312E-3	-412.2981722E-3	128.2089678E-3	3.2000000E+0
13.3228216E-3	-422.9840522E-3	129.4812708E-3	3.3000000E+0
13.4825004E-3	-424.2950014E-3	130.9556824E-3	3.4000001E+0
13.6896106E-3	-396.8785308E-3	132.8680572E-3	3.5000000E+0
13.8685063E-3	-420.2865532E-3	134.5199103E-3	3.6000001E+0
14.0608916E-3	-401.3975869E-3	136.2963218E-3	3.7000000E+0
14.2802262E-3	-405.4243523E-3	138.3215712E-3	3.8000000E+0
14.4114625E-3	-393.3282458E-3	139.5333566E-3	3.9000001E+0
14.6009546E-3	-393.1149700E-3	141.2830527E-3	4.0000000E+0
14.7593480E-3	-394.1140354E-3	142.7455954E-3	4.0999999E+0
14.9512847E-3	-391.7975000E-3	144.5178646E-3	4.2000003E+0
15.1429433E-3	-409.1505364E-3	146.2875651E-3	4.3000002E+0
15.3449067E-3	-428.9283197E-3	148.1524162E-3	4.4000001E+0
15.4761447E-3	-410.1111419E-3	149.3642170E-3	4.5000000E+0
15.6330079E-3	-397.9752750E-3	150.8126307E-3	4.5999999E+0
15.8084422E-3	-414.0578036E-3	152.4325228E-3	4.7000003E+0
16.0218355E-3	-399.7108273E-3	154.4029134E-3	4.8000002E+0
16.1928163E-3	-391.8969423E-3	155.9816832E-3	4.9000001E+0
16.3858597E-3	-403.9167932E-3	157.7641712E-3	5.0000000E+0
16.5524959E-3	-391.0415565E-3	159.3028247E-3	5.0999999E+0
