Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.1325968E-3	-82.3856292E-3	81.5567572E-3	200.0000030E-3
8.1339476E-3	-88.7193026E-3	81.5692295E-3	300.0000119E-3
8.2242691E-3	-86.0976311E-3	82.4032238E-3	400.0000060E-3
8.3503252E-3	-80.0015229E-3	83.5671759E-3	500.0000000E-3
8.5154899E-3	-72.6650108E-3	85.0922424E-3	600.0000238E-3
8.6671135E-3	-67.1689095E-3	86.4922760E-3	699.9999881E-3
8.8327223E-3	-69.9967802E-3	88.0214434E-3	800.0000119E-3
8.9871046E-3	-90.0776981E-3	89.4469489E-3	900.0000358E-3
9.1574708E-3	-73.1588077E-3	91.0200446E-3	1.0000000E+0
9.3202585E-3	-83.6168699E-3	92.5231623E-3	1.1000000E+0
9.4747033E-3	-78.1233220E-3	93.9492455E-3	1.2000000E+0
9.6589028E-3	-72.1881486E-3	95.6500719E-3	1.3000001E+0
9.8235586E-3	-52.7887239E-3	97.1704391E-3	1.4000000E+0
9.9881853E-3	-77.0247517E-3	98.6905381E-3	1.5000000E+0
10.1258628E-3	-52.8974616E-3	99.9617991E-3	1.6000000E+0
10.3068038E-3	-38.9285808E-3	101.6325369E-3	1.7000000E+0
10.4572961E-3	-51.6258704E-3	103.0221249E-3	1.8000001E+0
10.6447442E-3	-56.0697129E-3	104.7529470E-3	1.9000000E+0
10.8221187E-3	-78.8016532E-3	106.3907540E-3	2.0000000E+0
10.9948972E-3	-95.7429876E-3	107.9861234E-3	2.1000001E+0
11.1556994E-3	-109.9262125E-3	109.4709085E-3	2.2000000E+0
11.3349493E-3	-110.3255914E-3	111.1260320E-3	2.3000000E+0
11.4777116E-3	-58.6733508E-3	112.4442442E-3	2.4000001E+0
11.6499226E-3	-53.2943541E-3	114.0343727E-3	2.5000000E+0
11.8307031E-3	-51.1434167E-3	115.7036301E-3	2.6000001E+0
11.9915433E-3	-66.0578199E-3	117.1887659E-3	2.7000000E+0
12.1895191E-3	-79.9804975E-3	119.0167968E-3	2.8000000E+0
12.3629188E-3	-78.7081223E-3	120.6179022E-3	2.9000001E+0
12.5192898E-3	-73.8048374E-3	122.0617714E-3	3.0000000E+0
12.6821708E-3	-61.5572410E-3	123.5657506E-3	3.1000001E+0
12.8631776E-3	-84.8345513E-3	125.2370971E-3	3.2000000E+0
13.0325283E-3	-71.8891355E-3	126.8008149E-3	3.3000000E+0
13.1930749E-3	-72.8061698E-3	128.2832402E-3	3.4000001E+0
13.3836775E-3	-86.6276355E-3	130.0431898E-3	3.5000000E+0
13.5858323E-3	-91.0337746E-3	131.9098090E-3	3.6000001E+0
13.7556758E-3	-86.0559800E-3	133.4780775E-3	3.7000000E+0
13.9247230E-3	-68.9666713E-3	135.0389934E-3	3.8000000E+0
14.0748288E-3	-76.6913274E-3	136.4250119E-3	3.9000001E+0
14.2681728E-3	-70.1579678E-3	138.2102750E-3	4.0000000E+0
14.4466970E-3	-84.4442563E-3	139.8586979E-3	4.0999999E+0
14.6149152E-3	-93.7994564E-3	141.4119598E-3	4.2000003E+0
14.8322208E-3	-87.5038960E-3	143.4184742E-3	4.3000002E+0
14.9787680E-3	-67.0880475E-3	144.7716340E-3	4.4000001E+0
15.1970500E-3	-62.9949304E-3	146.7871652E-3	4.5000000E+0
15.3273115E-3	-81.7436469E-3	147.9899493E-3	4.5999999E+0
15.5523414E-3	-106.6650728E-3	150.0677879E-3	4.7000003E+0
15.6817175E-3	-106.7524911E-3	151.2623961E-3	4.8000002E+0
15.9136668E-3	-140.1776723E-3	153.4041259E-3	4.9000001E+0
16.0721965E-3	-95.6240106E-3	154.8679268E-3	5.0000000E+0
16.2279759E-3	-82.2259768E-3	156.3063333E-3	5.0999999E+0
