Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
7.8276402E-3	264.6244701E-3	78.7409070E-3	200.0000030E-3
8.7433454E-3	258.4099079E-3	87.1961719E-3	300.0000119E-3
8.4483427E-3	254.3334213E-3	84.4722313E-3	400.0000060E-3
8.7288832E-3	238.4238723E-3	87.0626330E-3	500.0000000E-3
8.9900609E-3	256.2085272E-3	89.4742468E-3	600.0000238E-3
8.9281795E-3	274.3111417E-3	88.9028581E-3	699.9999881E-3
9.0356555E-3	269.6459757E-3	89.8952493E-3	800.0000119E-3
9.3612604E-3	272.4176309E-3	92.9017582E-3	900.0000358E-3
9.5883791E-3	251.7854934E-3	94.9988839E-3	1.0000000E+0
9.6858620E-3	259.7767528E-3	95.8990028E-3	1.1000000E+0
9.6644401E-3	251.7435974E-3	95.7012013E-3	1.2000000E+0
9.9486615E-3	267.7233668E-3	98.3255912E-3	1.3000001E+0
10.2171637E-3	263.7667857E-3	100.8048359E-3	1.4000000E+0
10.4027800E-3	256.1861039E-3	102.5187438E-3	1.5000000E+0
10.3871183E-3	250.3648265E-3	102.3741299E-3	1.6000000E+0
10.5634213E-3	262.6570218E-3	104.0020433E-3	1.7000000E+0
10.8090335E-3	267.7708132E-3	106.2699304E-3	1.8000001E+0
11.0129638E-3	277.9781597E-3	108.1529439E-3	1.9000000E+0
11.1891233E-3	261.1545231E-3	109.7795316E-3	2.0000000E+0
11.3866856E-3	265.3458496E-3	111.6037453E-3	2.1000001E+0
11.4603131E-3	256.5845232E-3	112.2835930E-3	2.2000000E+0
11.5962712E-3	264.2609025E-3	113.5389767E-3	2.3000000E+0
11.8215447E-3	258.0289546E-3	115.6190644E-3	2.4000001E+0
11.9826391E-3	274.5215191E-3	117.1065472E-3	2.5000000E+0
12.1835963E-3	284.3847275E-3	118.9621081E-3	2.6000001E+0
12.3981136E-3	255.6466454E-3	120.9428772E-3	2.7000000E+0
12.5545494E-3	273.7540210E-3	122.3873448E-3	2.8000000E+0
12.7317133E-3	263.8627307E-3	124.0232071E-3	2.9000001E+0
12.9096699E-3	245.6936356E-3	125.6663891E-3	3.0000000E+0
13.0876148E-3	250.5552618E-3	127.3094627E-3	3.1000001E+0
13.2234427E-3	265.2772799E-3	128.5636445E-3	3.2000000E+0
13.4168621E-3	259.0078619E-3	130.3496040E-3	3.3000000E+0
13.5778783E-3	242.7675606E-3	131.8363647E-3	3.4000001E+0
13.7395559E-3	241.9997426E-3	133.3292328E-3	3.5000000E+0
13.9291542E-3	238.2930673E-3	135.0799093E-3	3.6000001E+0
14.1103403E-3	259.6847849E-3	136.7529117E-3	3.7000000E+0
14.2830663E-3	284.7048640E-3	138.3477962E-3	3.8000000E+0
14.4553549E-3	298.4195317E-3	139.9386417E-3	3.9000001E+0
14.6221782E-3	274.8308953E-3	141.4790233E-3	4.0000000E+0
14.7812380E-3	260.2910180E-3	142.9477195E-3	4.0999999E+0
14.9597874E-3	240.2519445E-3	144.5963745E-3	4.2000003E+0
15.1380283E-3	232.2871164E-3	146.2421821E-3	4.3000002E+0
15.3001568E-3	260.3975170E-3	147.7392130E-3	4.4000001E+0
15.5017665E-3	248.9190126E-3	149.6007988E-3	4.5000000E+0
15.7311343E-3	261.3444942E-3	151.7186920E-3	4.5999999E+0
15.9368094E-3	275.6140851E-3	153.6178150E-3	4.7000003E+0
16.0480204E-3	269.8215551E-3	154.6446948E-3	4.8000002E+0
16.1361175E-3	242.3190951E-3	155.4581485E-3	4.9000001E+0
16.3434500E-3	266.2648790E-3	157.3725763E-3	5.0000000E+0
16.5876170E-3	259.3952115E-3	159.6271188E-3	5.0999999E+0
16.8890554E-3	260.5177681E-3	162.4104834E-3	5.2000003E+0
16.8468763E-3	252.9876998E-3	162.0210189E-3	5.3000002E+0
