Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
7.6895941E-3	258.8334390E-3	77.4662427E-3	200.0000030E-3
8.6546579E-3	259.9568096E-3	86.3772658E-3	300.0000119E-3
8.4541146E-3	281.0528670E-3	84.5255272E-3	400.0000060E-3
8.6379286E-3	275.5219676E-3	86.2227944E-3	500.0000000E-3
8.9059102E-3	264.6006819E-3	88.6972315E-3	600.0000238E-3
8.9151664E-3	249.2387880E-3	88.7826999E-3	699.9999881E-3
9.0278970E-3	265.7605229E-3	89.8236104E-3	800.0000119E-3
9.4272858E-3	260.1183015E-3	93.5114114E-3	900.0000358E-3
9.4361186E-3	272.4594031E-3	93.5929698E-3	1.0000000E+0
9.5213615E-3	286.0015865E-3	94.3800696E-3	1.1000000E+0
9.9298915E-3	276.9598634E-3	98.1522764E-3	1.2000000E+0
10.0270051E-3	270.6351429E-3	99.0489856E-3	1.3000001E+0
10.0360860E-3	255.7461032E-3	99.1328343E-3	1.4000000E+0
10.2501373E-3	237.0358679E-3	101.1093014E-3	1.5000000E+0
10.6008563E-3	249.7304752E-3	104.3477032E-3	1.6000000E+0
10.6266540E-3	275.8951885E-3	104.5859099E-3	1.7000000E+0
10.6755033E-3	263.8328878E-3	105.0369650E-3	1.8000001E+0
11.0138320E-3	266.9879484E-3	108.1609600E-3	1.9000000E+0
11.2441819E-3	284.8118529E-3	110.2879215E-3	2.0000000E+0
11.2703797E-3	279.5199959E-3	110.5298215E-3	2.1000001E+0
11.3776757E-3	261.9622098E-3	111.5205517E-3	2.2000000E+0
11.5961298E-3	238.3303517E-3	113.5376716E-3	2.3000000E+0
11.9335926E-3	256.2287066E-3	116.6536713E-3	2.4000001E+0
12.0200791E-3	269.6159130E-3	117.4522536E-3	2.5000000E+0
12.1126134E-3	262.6163845E-3	118.3066799E-3	2.6000001E+0
12.2373862E-3	280.9431802E-3	119.4587834E-3	2.7000000E+0
12.4732897E-3	288.4847206E-3	121.6370239E-3	2.8000000E+0
12.7895557E-3	296.7852994E-3	124.5573009E-3	2.9000001E+0
12.8877084E-3	252.8739585E-3	125.4636047E-3	3.0000000E+0
13.0511279E-3	262.0739960E-3	126.9725565E-3	3.1000001E+0
13.1930936E-3	247.6977565E-3	128.2834129E-3	3.2000000E+0
13.3532651E-3	241.7786616E-3	129.7623741E-3	3.3000000E+0
13.5269939E-3	229.8339161E-3	131.3665179E-3	3.4000001E+0
13.6740590E-3	241.3988071E-3	132.7244595E-3	3.5000000E+0
13.8682705E-3	248.1868439E-3	134.5177335E-3	3.6000001E+0
14.0289409E-3	262.2953092E-3	136.0013012E-3	3.7000000E+0
14.2498877E-3	295.5454527E-3	138.0414376E-3	3.8000000E+0
14.3950796E-3	282.4386430E-3	139.3820833E-3	3.9000001E+0
14.5810355E-3	279.8020381E-3	141.0991275E-3	4.0000000E+0
14.7388434E-3	284.5638248E-3	142.5562639E-3	4.0999999E+0
14.9392833E-3	285.7542805E-3	144.4070482E-3	4.2000003E+0
15.1348731E-3	286.1977682E-3	146.2130478E-3	4.3000002E+0
15.3511680E-3	287.5409931E-3	148.2102308E-3	4.4000001E+0
15.4905170E-3	292.9682873E-3	149.4969255E-3	4.5000000E+0
15.6994557E-3	260.2242434E-3	151.4261835E-3	4.5999999E+0
15.8595568E-3	248.7594499E-3	152.9044948E-3	4.7000003E+0
16.0046560E-3	293.5337232E-3	154.2442843E-3	4.8000002E+0
16.1486116E-3	283.0586127E-3	155.5735146E-3	4.9000001E+0
16.3053670E-3	314.5165758E-3	157.0209327E-3	5.0000000E+0
16.3961366E-3	270.7888561E-3	157.8590639E-3	5.0999999E+0
16.7038212E-3	257.7139352E-3	160.7001038E-3	5.2000003E+0
16.9773429E-3	249.1239790E-3	163.2256961E-3	5.3000002E+0
