Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3378770E-3	-390.9500151E-3	83.4522348E-3	200.0000030E-3
8.3270346E-3	-383.7510155E-3	83.3521198E-3	300.0000119E-3
8.4023529E-3	-347.6082074E-3	84.0475796E-3	400.0000060E-3
8.5170138E-3	-349.2712594E-3	85.1063143E-3	500.0000000E-3
8.6617639E-3	-370.1808120E-3	86.4428798E-3	600.0000238E-3
8.8068838E-3	-402.1145694E-3	87.7828601E-3	699.9999881E-3
8.9734842E-3	-378.3136367E-3	89.3211835E-3	800.0000119E-3
9.1487425E-3	-392.3109089E-3	90.9394508E-3	900.0000358E-3
9.2931233E-3	-398.7860877E-3	92.2726066E-3	1.0000000E+0
9.4952772E-3	-395.9964764E-3	94.1392167E-3	1.1000000E+0
9.6575821E-3	-380.8323685E-3	95.6378776E-3	1.2000000E+0
9.8151325E-3	-390.8131507E-3	97.0926360E-3	1.3000001E+0
9.9568971E-3	-399.5319053E-3	98.4016354E-3	1.4000000E+0
10.1474065E-3	-411.7238914E-3	100.1607251E-3	1.5000000E+0
10.3148986E-3	-378.4550008E-3	101.7072812E-3	1.6000000E+0
10.4543051E-3	-355.0317768E-3	102.9945072E-3	1.7000000E+0
10.6333762E-3	-343.1883874E-3	104.6479801E-3	1.8000001E+0
10.7752213E-3	-364.7785306E-3	105.9577223E-3	1.9000000E+0
10.9715982E-3	-386.8832278E-3	107.7709900E-3	2.0000000E+0
11.1317658E-3	-384.1303181E-3	109.2499152E-3	2.1000001E+0
11.2892664E-3	-377.2275702E-3	110.7042145E-3	2.2000000E+0
11.4858858E-3	-387.1938420E-3	112.5197209E-3	2.3000000E+0
11.6649547E-3	-410.5673243E-3	114.1731731E-3	2.4000001E+0
11.8173995E-3	-390.4751767E-3	115.5807895E-3	2.5000000E+0
11.9906283E-3	-382.0667732E-3	117.1803165E-3	2.6000001E+0
12.1633731E-3	-370.6984972E-3	118.7753751E-3	2.7000000E+0
12.3611060E-3	-325.1208847E-3	120.6011634E-3	2.8000000E+0
12.5024220E-3	-333.6526920E-3	121.9060207E-3	2.9000001E+0
12.6748855E-3	-384.8563587E-3	123.4984808E-3	3.0000000E+0
12.8545677E-3	-402.8236030E-3	125.1575968E-3	3.1000001E+0
13.0411929E-3	-384.1651368E-3	126.8808207E-3	3.2000000E+0
13.2035269E-3	-362.7867123E-3	128.3797499E-3	3.3000000E+0
13.3744172E-3	-413.1740314E-3	129.9576841E-3	3.4000001E+0
13.5657171E-3	-398.6771798E-3	131.7240729E-3	3.5000000E+0
13.7607879E-3	-386.6789372E-3	133.5252805E-3	3.6000001E+0
13.9358445E-3	-395.8762614E-3	135.1416855E-3	3.7000000E+0
14.1264417E-3	-400.9280496E-3	136.9015852E-3	3.8000000E+0
14.2735738E-3	-391.9967097E-3	138.2601458E-3	3.9000001E+0
14.4601414E-3	-416.4361306E-3	139.9828383E-3	4.0000000E+0
14.6385717E-3	-405.1627422E-3	141.6303946E-3	4.0999999E+0
14.7979762E-3	-391.4868239E-3	143.1022735E-3	4.2000003E+0
14.9827858E-3	-404.7690479E-3	144.8087328E-3	4.3000002E+0
15.1987745E-3	-423.8774085E-3	146.8030889E-3	4.4000001E+0
15.3650649E-3	-401.6399615E-3	148.3385495E-3	4.5000000E+0
15.5391434E-3	-414.1457067E-3	149.9459223E-3	4.5999999E+0
15.7136777E-3	-425.6450817E-3	151.5575043E-3	4.7000003E+0
15.8735235E-3	-391.5263986E-3	153.0334583E-3	4.8000002E+0
16.0617157E-3	-385.7399657E-3	154.7711513E-3	4.9000001E+0
16.2541748E-3	-414.3475575E-3	156.5482436E-3	5.0000000E+0
16.4175702E-3	-407.7021021E-3	158.0569737E-3	5.0999999E+0
