Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
7.9868456E-3	170.7782340E-3	80.2109473E-3	200.0000030E-3
8.0156227E-3	175.3004729E-3	80.4766635E-3	300.0000119E-3
8.0919591E-3	157.7469166E-3	81.1815240E-3	400.0000060E-3
8.1946586E-3	172.0295994E-3	82.1298114E-3	500.0000000E-3
8.3600428E-3	150.5142623E-3	83.6569051E-3	600.0000238E-3
8.5213780E-3	157.2892589E-3	85.1466112E-3	699.9999881E-3
8.6749893E-3	138.9100339E-3	86.5649982E-3	800.0000119E-3
8.8654362E-3	141.7503774E-3	88.3235102E-3	900.0000358E-3
9.0255373E-3	150.0281410E-3	89.8018216E-3	1.0000000E+0
9.2064117E-3	129.6302331E-3	91.4719455E-3	1.1000000E+0
9.3444373E-3	147.1573117E-3	92.7464202E-3	1.2000000E+0
9.5383958E-3	131.1532672E-3	94.5373575E-3	1.3000001E+0
9.6876117E-3	138.3980074E-3	95.9151587E-3	1.4000000E+0
9.8426431E-3	153.5701107E-3	97.3466581E-3	1.5000000E+0
9.9983214E-3	154.1549987E-3	98.7841310E-3	1.6000000E+0
10.1580354E-3	137.4935297E-3	100.2588676E-3	1.7000000E+0
10.3839714E-3	137.5015612E-3	102.3450730E-3	1.8000001E+0
10.5142726E-3	153.4610532E-3	103.5482234E-3	1.9000000E+0
10.6921164E-3	141.8650936E-3	105.1903634E-3	2.0000000E+0
10.8724193E-3	160.9320276E-3	106.8552104E-3	2.1000001E+0
11.0345075E-3	146.4573877E-3	108.3518699E-3	2.2000000E+0
11.2574950E-3	150.5110642E-3	110.4108497E-3	2.3000000E+0
11.4145247E-3	139.0560096E-3	111.8608005E-3	2.4000001E+0
11.5966868E-3	152.4296444E-3	113.5428145E-3	2.5000000E+0
11.7524651E-3	149.4893324E-3	114.9812106E-3	2.6000001E+0
11.9275313E-3	137.4308818E-3	116.5977034E-3	2.7000000E+0
12.1033220E-3	163.8785761E-3	118.2208865E-3	2.8000000E+0
12.2491279E-3	194.7468281E-3	119.5672013E-3	2.9000001E+0
12.4458729E-3	188.7196661E-3	121.3838683E-3	3.0000000E+0
12.6174833E-3	174.4877207E-3	122.9684517E-3	3.1000001E+0
12.7861613E-3	151.5866077E-3	124.5259589E-3	3.2000000E+0
12.9757721E-3	166.3246044E-3	126.2767507E-3	3.3000000E+0
13.1274762E-3	156.0355275E-3	127.6775274E-3	3.4000001E+0
13.3236167E-3	144.2316629E-3	129.4886120E-3	3.5000000E+0
13.5071127E-3	136.8117167E-3	131.1829431E-3	3.6000001E+0
13.6623810E-3	151.1408554E-3	132.6166297E-3	3.7000000E+0
13.8711040E-3	123.9458114E-3	134.5438966E-3	3.8000000E+0
14.0355866E-3	142.6252102E-3	136.0626647E-3	3.9000001E+0
14.2224877E-3	122.5590863E-3	137.7884368E-3	4.0000000E+0
14.3933825E-3	127.2236126E-3	139.3664123E-3	4.0999999E+0
14.5689989E-3	151.1840771E-3	140.9879860E-3	4.2000003E+0
14.7592787E-3	147.2300648E-3	142.7449557E-3	4.3000002E+0
14.9335466E-3	140.4179799E-3	144.3540772E-3	4.4000001E+0
15.1160668E-3	123.3632911E-3	146.0393977E-3	4.5000000E+0
15.2941994E-3	147.1213272E-3	147.6842045E-3	4.5999999E+0
15.4875383E-3	160.6719599E-3	149.4694212E-3	4.7000003E+0
15.6451501E-3	152.5457224E-3	150.9247470E-3	4.8000002E+0
15.8150354E-3	166.6996842E-3	152.4934014E-3	4.9000001E+0
15.9945076E-3	179.5942336E-3	154.1505780E-3	5.0000000E+0
16.1597567E-3	173.9232443E-3	155.6764234E-3	5.0999999E+0
16.3684383E-3	157.1762914E-3	157.6033086E-3	5.2000003E+0
16.5291512E-3	165.7992609E-3	159.0872683E-3	5.3000002E+0
