Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3091681E-3	154.4469948E-3	83.1871477E-3	200.0000030E-3
8.3483190E-3	139.4388302E-3	83.5486524E-3	300.0000119E-3
8.3937784E-3	161.6528377E-3	83.9684066E-3	400.0000060E-3
8.5037041E-3	140.4472276E-3	84.9834170E-3	500.0000000E-3
8.6669727E-3	136.6986408E-3	86.4909761E-3	600.0000238E-3
8.8749091E-3	132.5146598E-3	88.4109801E-3	699.9999881E-3
9.0575645E-3	160.0464707E-3	90.0975488E-3	800.0000119E-3
9.1865306E-3	157.1651700E-3	91.2883708E-3	900.0000358E-3
9.3499439E-3	140.6300080E-3	92.7972659E-3	1.0000000E+0
9.5040457E-3	137.9439451E-3	94.2201819E-3	1.1000000E+0
9.6763896E-3	153.2355825E-3	95.8115381E-3	1.2000000E+0
9.8559936E-3	162.9757955E-3	97.4699320E-3	1.3000001E+0
10.0243097E-3	147.0055535E-3	99.0240966E-3	1.4000000E+0
10.1989669E-3	120.0797436E-3	100.6368135E-3	1.5000000E+0
10.3690086E-3	126.6642532E-3	102.2069122E-3	1.6000000E+0
10.5309242E-3	123.4708579E-3	103.7019778E-3	1.7000000E+0
10.7153801E-3	125.8080782E-3	105.4051719E-3	1.8000001E+0
10.8926725E-3	134.8758663E-3	107.0422206E-3	1.9000000E+0
11.0271356E-3	138.9013215E-3	108.2838006E-3	2.0000000E+0
11.1923444E-3	117.4672849E-3	109.8092745E-3	2.1000001E+0
11.3977021E-3	141.0246618E-3	111.7054676E-3	2.2000000E+0
11.5608560E-3	139.7841401E-3	113.2119667E-3	2.3000000E+0
11.7429482E-3	137.5760835E-3	114.8933353E-3	2.4000001E+0
11.9004944E-3	153.9580638E-3	116.3480555E-3	2.5000000E+0
12.0637631E-3	132.6673258E-3	117.8556146E-3	2.6000001E+0
12.2444531E-3	120.4362412E-3	119.5240363E-3	2.7000000E+0
12.4446489E-3	135.5430039E-3	121.3725664E-3	2.8000000E+0
12.5796606E-3	156.1449548E-3	122.6192118E-3	2.9000001E+0
12.7744515E-3	134.0637434E-3	124.4178351E-3	3.0000000E+0
12.9277539E-3	138.5860596E-3	125.8333695E-3	3.1000001E+0
13.1387529E-3	95.0235201E-3	127.7816514E-3	3.2000000E+0
13.3126308E-3	93.5558710E-3	129.3871724E-3	3.3000000E+0
13.4712029E-3	111.3707382E-3	130.8513654E-3	3.4000001E+0
13.6221394E-3	133.7929670E-3	132.2450543E-3	3.5000000E+0
13.7993591E-3	134.4888107E-3	133.8814324E-3	3.6000001E+0
13.9840525E-3	140.5714816E-3	135.5868188E-3	3.7000000E+0
14.1505484E-3	143.0295926E-3	137.1241776E-3	3.8000000E+0
14.3391065E-3	145.9809022E-3	138.8652493E-3	3.9000001E+0
14.5366029E-3	147.0599224E-3	140.6888543E-3	4.0000000E+0
14.6941164E-3	130.1763923E-3	142.1432722E-3	4.0999999E+0
14.8536622E-3	133.3388273E-3	143.6164562E-3	4.2000003E+0
15.0361042E-3	158.6490781E-3	145.3010544E-3	4.3000002E+0
15.2373128E-3	176.8129066E-3	147.1589366E-3	4.4000001E+0
15.4062478E-3	177.3335166E-3	148.7188167E-3	4.5000000E+0
15.5856972E-3	156.5137034E-3	150.3757817E-3	4.5999999E+0
15.7619605E-3	158.6126603E-3	152.0033288E-3	4.7000003E+0
15.9313190E-3	160.5453074E-3	153.5671189E-3	4.8000002E+0
16.1275797E-3	136.3742075E-3	155.3793137E-3	4.9000001E+0
16.3205382E-3	162.9549971E-3	157.1610176E-3	5.0000000E+0
16.4569002E-3	169.7240512E-3	158.4201307E-3	5.0999999E+0
16.6429225E-3	156.1734185E-3	160.1377887E-3	5.2000003E+0
16.8350861E-3	159.8550604E-3	161.9121523E-3	5.3000002E+0
