Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3844821E-3	229.4367678E-3	83.8825678E-3	200.0000030E-3
8.4215566E-3	251.4161051E-3	84.2248996E-3	300.0000119E-3
8.5199579E-3	241.0268603E-3	85.1334988E-3	400.0000060E-3
8.6347343E-3	245.4892263E-3	86.1932990E-3	500.0000000E-3
8.7639344E-3	241.0175701E-3	87.3862823E-3	600.0000238E-3
8.9228802E-3	235.2576872E-3	88.8539262E-3	699.9999881E-3
9.0878868E-3	233.9531550E-3	90.3775329E-3	800.0000119E-3
9.2849581E-3	190.7559596E-3	92.1972124E-3	900.0000358E-3
9.4180732E-3	205.5627084E-3	93.4263453E-3	1.0000000E+0
9.5659885E-3	205.9904632E-3	94.7921379E-3	1.1000000E+0
9.7164111E-3	214.8622811E-3	96.1810811E-3	1.2000000E+0
9.8634248E-3	228.5351406E-3	97.5385481E-3	1.3000001E+0
10.0577302E-3	220.9545877E-3	99.3326888E-3	1.4000000E+0
10.2089896E-3	202.0946163E-3	100.7293592E-3	1.5000000E+0
10.3573435E-3	207.9867848E-3	102.0992011E-3	1.6000000E+0
10.5030851E-3	213.7401424E-3	103.4449226E-3	1.7000000E+0
10.7100074E-3	209.0687687E-3	105.3555624E-3	1.8000001E+0
10.8798806E-3	201.0069714E-3	106.9241051E-3	1.9000000E+0
11.0342997E-3	218.0493111E-3	108.3499510E-3	2.0000000E+0
11.2060717E-3	227.3225530E-3	109.9360268E-3	2.1000001E+0
11.3420419E-3	226.0936600E-3	111.1915222E-3	2.2000000E+0
11.5719912E-3	230.4281355E-3	113.3147852E-3	2.3000000E+0
11.7154050E-3	224.8591625E-3	114.6390119E-3	2.4000001E+0
11.8694405E-3	214.5781108E-3	116.0613159E-3	2.5000000E+0
12.0896699E-3	231.1540617E-3	118.0948282E-3	2.6000001E+0
12.2282077E-3	264.6980919E-3	119.3740320E-3	2.7000000E+0
12.3919193E-3	254.0753912E-3	120.8856816E-3	2.8000000E+0
12.5545841E-3	254.3728104E-3	122.3876646E-3	2.9000001E+0
12.7595993E-3	248.1858690E-3	124.2806956E-3	3.0000000E+0
12.8977936E-3	239.2182970E-3	125.5567281E-3	3.1000001E+0
13.0891986E-3	263.8269164E-3	127.3240866E-3	3.2000000E+0
13.2626855E-3	233.7164906E-3	128.9259968E-3	3.3000000E+0
13.4320663E-3	254.6882940E-3	130.4899932E-3	3.4000001E+0
13.6197495E-3	229.2508903E-3	132.2229869E-3	3.5000000E+0
13.7544495E-3	228.1174600E-3	133.4667540E-3	3.6000001E+0
13.9535475E-3	208.1479724E-3	135.3051480E-3	3.7000000E+0
14.1218138E-3	224.2768073E-3	136.8588535E-3	3.8000000E+0
14.3533431E-3	221.6616405E-3	138.9967042E-3	3.9000001E+0
14.4624994E-3	242.0444912E-3	140.0046117E-3	4.0000000E+0
14.6468146E-3	255.1068619E-3	141.7065058E-3	4.0999999E+0
14.8004264E-3	225.4898461E-3	143.1248979E-3	4.2000003E+0
15.0162789E-3	232.0371332E-3	145.1179955E-3	4.3000002E+0
15.1792766E-3	234.7566015E-3	146.6230528E-3	4.4000001E+0
15.3344466E-3	231.2526229E-3	148.0558315E-3	4.5000000E+0
15.5092552E-3	236.4522025E-3	149.6699463E-3	4.5999999E+0
15.7050868E-3	253.2645785E-3	151.4781795E-3	4.7000003E+0
15.9002068E-3	243.2410492E-3	153.2798410E-3	4.8000002E+0
16.0540818E-3	207.0156356E-3	154.7006627E-3	4.9000001E+0
16.2025653E-3	229.5069551E-3	156.0717013E-3	5.0000000E+0
16.4156831E-3	215.2397215E-3	158.0395488E-3	5.0999999E+0
16.5707838E-3	232.0550430E-3	159.4716879E-3	5.2000003E+0
16.7915149E-3	229.9388469E-3	161.5098332E-3	5.3000002E+0
