Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.2120079E-3	281.4003581E-3	82.2900086E-3	200.0000030E-3
8.2306422E-3	271.2431402E-3	82.4620700E-3	300.0000119E-3
8.3106254E-3	278.5937810E-3	83.2006041E-3	400.0000060E-3
8.4381820E-3	266.0883350E-3	84.3784116E-3	500.0000000E-3
8.6100275E-3	284.6493654E-3	85.9651666E-3	600.0000238E-3
8.7490760E-3	280.6745341E-3	87.2490861E-3	699.9999881E-3
8.8917971E-3	291.3672489E-3	88.5669165E-3	800.0000119E-3
9.0709034E-3	276.3209058E-3	90.2207144E-3	900.0000358E-3
9.2371340E-3	264.8113070E-3	91.7556229E-3	1.0000000E+0
9.3775489E-3	266.9710290E-3	93.0521598E-3	1.1000000E+0
9.6060402E-3	259.8947187E-3	95.1619594E-3	1.2000000E+0
9.7383726E-3	243.0395647E-3	96.3838655E-3	1.3000001E+0
9.8871159E-3	279.2990026E-3	97.7573028E-3	1.4000000E+0
10.0565688E-3	275.6384583E-3	99.3219646E-3	1.5000000E+0
10.2453576E-3	253.5643138E-3	101.0651667E-3	1.6000000E+0
10.4120960E-3	285.2290435E-3	102.6047642E-3	1.7000000E+0
10.5554902E-3	266.1056412E-3	103.9288104E-3	1.8000001E+0
10.7435008E-3	261.8708918E-3	105.6648269E-3	1.9000000E+0
10.9033751E-3	239.3219176E-3	107.1410440E-3	2.0000000E+0
11.0509273E-3	232.5951927E-3	108.5034837E-3	2.1000001E+0
11.2628290E-3	233.7884494E-3	110.4601015E-3	2.2000000E+0
11.4080489E-3	248.8332192E-3	111.8010051E-3	2.3000000E+0
11.5860189E-3	253.7696361E-3	113.4443109E-3	2.4000001E+0
11.7582991E-3	266.7705040E-3	115.0350791E-3	2.5000000E+0
11.9239693E-3	278.8378373E-3	116.5648139E-3	2.6000001E+0
12.1020198E-3	281.2540265E-3	118.2088625E-3	2.7000000E+0
12.2775295E-3	255.9363941E-3	119.8294509E-3	2.8000000E+0
12.4590006E-3	242.5426779E-3	121.5050840E-3	2.9000001E+0
12.6242374E-3	249.4076564E-3	123.0308159E-3	3.0000000E+0
12.8158758E-3	255.6352712E-3	124.8003307E-3	3.1000001E+0
12.9817863E-3	262.8425155E-3	126.3322835E-3	3.2000000E+0
13.1567022E-3	269.9825931E-3	127.9473887E-3	3.3000000E+0
13.3402704E-3	278.5266453E-3	129.6423861E-3	3.4000001E+0
13.5006609E-3	273.6570856E-3	131.1233695E-3	3.5000000E+0
13.6953602E-3	269.7400018E-3	132.9211468E-3	3.6000001E+0
13.8772346E-3	271.9377821E-3	134.6005041E-3	3.7000000E+0
14.0393524E-3	274.7366526E-3	136.0974371E-3	3.8000000E+0
14.2023747E-3	256.3612654E-3	137.6027213E-3	3.9000001E+0
14.3661931E-3	269.3443886E-3	139.1153562E-3	4.0000000E+0
14.5827249E-3	264.8736609E-3	141.1147263E-3	4.0999999E+0
14.7703969E-3	266.7346845E-3	142.8476169E-3	4.2000003E+0
14.9227267E-3	255.9245609E-3	144.2541706E-3	4.3000002E+0
15.1278922E-3	259.5112482E-3	146.1485893E-3	4.4000001E+0
15.2727892E-3	266.2011839E-3	147.4865114E-3	4.5000000E+0
15.4733721E-3	254.8809991E-3	149.3386162E-3	4.5999999E+0
15.6661223E-3	273.8058313E-3	151.1183960E-3	4.7000003E+0
15.8558965E-3	278.4875142E-3	152.8706974E-3	4.8000002E+0
16.0229662E-3	269.5565509E-3	154.4133538E-3	4.9000001E+0
16.1951202E-3	268.1764181E-3	156.0029562E-3	5.0000000E+0
16.3962869E-3	238.4907140E-3	157.8604515E-3	5.0999999E+0
16.5471273E-3	243.6458391E-3	159.2532531E-3	5.2000003E+0
16.7203955E-3	265.7436670E-3	160.8531439E-3	5.3000002E+0
