Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.5536395E-3	314.2919723E-3	85.4445015E-3	200.0000030E-3
8.6236239E-3	306.5790456E-3	86.0907101E-3	300.0000119E-3
8.6927001E-3	328.5629141E-3	86.7285329E-3	400.0000060E-3
8.8856810E-3	325.5304226E-3	88.5104431E-3	500.0000000E-3
8.9676066E-3	306.3742701E-3	89.2669127E-3	600.0000238E-3
9.2181232E-3	332.0281227E-3	91.5800848E-3	699.9999881E-3
9.2675791E-3	341.8740145E-3	92.0367418E-3	800.0000119E-3
9.5790106E-3	348.3148954E-3	94.9123786E-3	900.0000358E-3
9.5633026E-3	324.2447596E-3	94.7673366E-3	1.0000000E+0
9.8764826E-3	342.0898907E-3	97.6591190E-3	1.1000000E+0
9.9369227E-3	320.0362919E-3	98.2171991E-3	1.2000000E+0
10.1367425E-3	304.9947512E-3	100.0622577E-3	1.3000001E+0
10.3549150E-3	315.5249165E-3	102.0767778E-3	1.4000000E+0
10.4255694E-3	304.3975760E-3	102.7291729E-3	1.5000000E+0
10.7593736E-3	304.4637420E-3	105.8113906E-3	1.6000000E+0
10.7868244E-3	326.3024601E-3	106.0648608E-3	1.7000000E+0
10.9815231E-3	338.9075187E-3	107.8626329E-3	1.8000001E+0
11.2503600E-3	340.2579808E-3	110.3449675E-3	1.9000000E+0
11.2333067E-3	327.0209076E-3	110.1875042E-3	2.0000000E+0
11.4990821E-3	334.8777048E-3	112.6415711E-3	2.1000001E+0
11.7245204E-3	327.1616218E-3	114.7231805E-3	2.2000000E+0
11.7243445E-3	306.6345751E-3	114.7215556E-3	2.3000000E+0
12.0823202E-3	296.7277324E-3	118.0269641E-3	2.4000001E+0
12.2059366E-3	339.8985068E-3	119.1683899E-3	2.5000000E+0
12.2793999E-3	313.9559372E-3	119.8467210E-3	2.6000001E+0
12.5246389E-3	314.9529605E-3	122.1111624E-3	2.7000000E+0
12.7479577E-3	311.9007952E-3	124.1732011E-3	2.8000000E+0
12.7802235E-3	311.9524662E-3	124.4711310E-3	2.9000001E+0
13.0252496E-3	332.2604798E-3	126.7336070E-3	3.0000000E+0
13.2670496E-3	344.6935183E-3	128.9662937E-3	3.1000001E+0
13.3404190E-3	319.9153290E-3	129.6437583E-3	3.2000000E+0
13.5145941E-3	306.4044257E-3	131.2520235E-3	3.3000000E+0
13.7397984E-3	327.3661704E-3	133.3314716E-3	3.4000001E+0
13.9798028E-3	338.6459138E-3	135.5475793E-3	3.5000000E+0
14.1070672E-3	315.7858715E-3	136.7226890E-3	3.6000001E+0
14.2231112E-3	301.7443769E-3	137.7941935E-3	3.7000000E+0
14.3808095E-3	305.0285743E-3	139.2503189E-3	3.8000000E+0
14.5683302E-3	312.1552506E-3	140.9818115E-3	3.9000001E+0
14.7772465E-3	297.7010119E-3	142.9108632E-3	4.0000000E+0
14.9860924E-3	320.3270723E-3	144.8392649E-3	4.0999999E+0
15.1592916E-3	309.1110343E-3	146.4385186E-3	4.2000003E+0
15.3262378E-3	325.0270312E-3	147.9800350E-3	4.3000002E+0
15.5109876E-3	309.0670131E-3	149.6859423E-3	4.4000001E+0
15.6776908E-3	317.8848851E-3	151.2252148E-3	4.5000000E+0
15.8406220E-3	335.7435620E-3	152.7296583E-3	4.5999999E+0
16.0506528E-3	309.5520615E-3	154.6690008E-3	4.7000003E+0
16.1776121E-3	328.7416503E-3	155.8412940E-3	4.8000002E+0
16.4196663E-3	333.3768051E-3	158.0763277E-3	4.9000001E+0
16.5727581E-3	311.9113491E-3	159.4899175E-3	5.0000000E+0
16.7412920E-3	321.3985149E-3	161.0460939E-3	5.0999999E+0
16.9340890E-3	340.2083937E-3	162.8263070E-3	5.2000003E+0
17.0762637E-3	342.0147338E-3	164.1390926E-3	5.3000002E+0
