Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3694500E-3	296.0858731E-3	83.7437674E-3	200.0000030E-3
8.3924276E-3	296.5924500E-3	83.9559337E-3	300.0000119E-3
8.4185575E-3	284.4813960E-3	84.1972066E-3	400.0000060E-3
8.5288940E-3	299.4212285E-3	85.2160115E-3	500.0000000E-3
8.6629013E-3	321.1111958E-3	86.4533822E-3	600.0000238E-3
8.8496248E-3	304.0403408E-3	88.1775139E-3	699.9999881E-3
8.9896738E-3	325.8428732E-3	89.4706720E-3	800.0000119E-3
9.1501620E-3	326.1489997E-3	90.9525581E-3	900.0000358E-3
9.3386179E-3	323.8936009E-3	92.6926858E-3	1.0000000E+0
9.5149561E-3	312.7961013E-3	94.3209241E-3	1.1000000E+0
9.6500315E-3	314.4193515E-3	95.5681576E-3	1.2000000E+0
9.8040238E-3	314.0566794E-3	96.9900625E-3	1.3000001E+0
9.9706935E-3	328.4871949E-3	98.5290256E-3	1.4000000E+0
10.1350414E-3	332.1669386E-3	100.0465506E-3	1.5000000E+0
10.3237676E-3	330.6252055E-3	101.7891749E-3	1.6000000E+0
10.4857341E-3	335.4101376E-3	103.2847099E-3	1.7000000E+0
10.6728648E-3	308.6341463E-3	105.0126021E-3	1.8000001E+0
10.8401641E-3	317.5199742E-3	106.5573785E-3	1.9000000E+0
11.0139336E-3	310.6851720E-3	108.1618988E-3	2.0000000E+0
11.1727057E-3	321.1921094E-3	109.6279385E-3	2.1000001E+0
11.3440434E-3	331.8236494E-3	111.2100034E-3	2.2000000E+0
11.5096115E-3	328.2587787E-3	112.7387953E-3	2.3000000E+0
11.6678987E-3	347.6156833E-3	114.2003576E-3	2.4000001E+0
11.8324277E-3	349.7077383E-3	115.7195538E-3	2.5000000E+0
12.0138099E-3	327.2785406E-3	117.3943667E-3	2.6000001E+0
12.1990167E-3	305.4968376E-3	119.1044936E-3	2.7000000E+0
12.3572619E-3	312.3018453E-3	120.5656689E-3	2.8000000E+0
12.5125319E-3	343.2885069E-3	121.9993710E-3	2.9000001E+0
12.7448404E-3	353.4561755E-3	124.1444176E-3	3.0000000E+0
12.8822884E-3	326.9890601E-3	125.4135585E-3	3.1000001E+0
13.0759966E-3	330.3462222E-3	127.2021849E-3	3.2000000E+0
13.2590487E-3	307.3865673E-3	128.8924160E-3	3.3000000E+0
13.4118287E-3	332.8571030E-3	130.3031274E-3	3.4000001E+0
13.5721415E-3	330.8955847E-3	131.7833938E-3	3.5000000E+0
13.7403023E-3	312.0870059E-3	133.3361244E-3	3.6000001E+0
13.9611926E-3	324.3618125E-3	135.3757398E-3	3.7000000E+0
14.1323645E-3	326.9935840E-3	136.9562738E-3	3.8000000E+0
14.2850752E-3	334.4910464E-3	138.3663456E-3	3.9000001E+0
14.4362089E-3	351.5701701E-3	139.7618553E-3	4.0000000E+0
14.6501581E-3	335.2275017E-3	141.7373784E-3	4.0999999E+0
14.8297286E-3	303.7643390E-3	143.3954629E-3	4.2000003E+0
15.0034082E-3	305.3609980E-3	144.9991526E-3	4.3000002E+0
15.2035219E-3	309.8865897E-3	146.8469245E-3	4.4000001E+0
15.3659308E-3	306.3705251E-3	148.3465449E-3	4.5000000E+0
15.5268157E-3	292.6340789E-3	149.8320934E-3	4.5999999E+0
15.7038337E-3	303.5742001E-3	151.4666083E-3	4.7000003E+0
15.9144288E-3	321.8809945E-3	153.4111618E-3	4.8000002E+0
16.0996909E-3	300.2361420E-3	155.1217993E-3	4.9000001E+0
16.2830613E-3	306.8636825E-3	156.8149708E-3	5.0000000E+0
16.4606487E-3	320.3033491E-3	158.4547431E-3	5.0999999E+0
16.6146332E-3	324.7612635E-3	159.8765758E-3	5.2000003E+0
16.8141100E-3	321.6302221E-3	161.7184672E-3	5.3000002E+0
