Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.6663051E-3	423.1123066E-3	86.4848114E-3	200.0000030E-3
8.6419492E-3	412.9384518E-3	86.2599189E-3	300.0000119E-3
8.6900560E-3	423.5692665E-3	86.7041185E-3	400.0000060E-3
8.8049363E-3	415.8284546E-3	87.7648782E-3	500.0000000E-3
8.9800645E-3	409.8593651E-3	89.3819435E-3	600.0000238E-3
9.1504084E-3	399.0785924E-3	90.9548329E-3	699.9999881E-3
9.2975048E-3	387.4776343E-3	92.3130634E-3	800.0000119E-3
9.4273562E-3	399.5764541E-3	93.5120613E-3	900.0000358E-3
9.6252320E-3	405.1491050E-3	95.3391688E-3	1.0000000E+0
9.7596655E-3	438.6615240E-3	96.5804754E-3	1.1000000E+0
9.9477291E-3	435.0458881E-3	98.3169819E-3	1.2000000E+0
10.1124240E-3	415.4155403E-3	99.8377103E-3	1.3000001E+0
10.3090562E-3	406.8945664E-3	101.6533353E-3	1.4000000E+0
10.4618720E-3	359.8443590E-3	103.0643769E-3	1.5000000E+0
10.5910369E-3	363.6946629E-3	104.2570352E-3	1.6000000E+0
10.7532966E-3	385.9278027E-3	105.7552783E-3	1.7000000E+0
10.9229590E-3	394.0385549E-3	107.3218745E-3	1.8000001E+0
11.1283525E-3	395.2045652E-3	109.2183982E-3	1.9000000E+0
11.2746254E-3	394.4405490E-3	110.5690249E-3	2.0000000E+0
11.4594684E-3	377.6058683E-3	112.2757936E-3	2.1000001E+0
11.6407093E-3	373.7258369E-3	113.9493015E-3	2.2000000E+0
11.8018786E-3	383.4924657E-3	115.4374755E-3	2.3000000E+0
11.9904523E-3	395.4898933E-3	117.1786917E-3	2.4000001E+0
12.1465643E-3	411.9416315E-3	118.6201691E-3	2.5000000E+0
12.3167080E-3	414.5828253E-3	120.1912100E-3	2.6000001E+0
12.4935971E-3	407.6114613E-3	121.8245345E-3	2.7000000E+0
12.6482056E-3	408.0082661E-3	123.2521291E-3	2.8000000E+0
12.8613123E-3	404.5973181E-3	125.2198734E-3	2.9000001E+0
13.0220821E-3	415.3767393E-3	126.7043593E-3	3.0000000E+0
13.1653579E-3	398.6475517E-3	128.0273119E-3	3.1000001E+0
13.3780071E-3	419.8158980E-3	129.9908316E-3	3.2000000E+0
13.5504426E-3	413.8551547E-3	131.5830338E-3	3.3000000E+0
13.6907536E-3	418.8929070E-3	132.8786111E-3	3.4000001E+0
13.8852696E-3	387.6781439E-3	134.6746965E-3	3.5000000E+0
14.0874637E-3	391.0049131E-3	136.5416779E-3	3.6000001E+0
14.2304540E-3	392.3695503E-3	137.8619946E-3	3.7000000E+0
14.4457177E-3	406.7523460E-3	139.8496553E-3	3.8000000E+0
14.5935297E-3	411.0535967E-3	141.2144936E-3	3.9000001E+0
14.7384618E-3	404.7243833E-3	142.5527407E-3	4.0000000E+0
14.8989820E-3	407.1740043E-3	144.0349213E-3	4.0999999E+0
15.0957594E-3	371.7397444E-3	145.8518871E-3	4.2000003E+0
15.2633922E-3	396.1505675E-3	147.3997431E-3	4.3000002E+0
15.4883696E-3	373.9321187E-3	149.4770968E-3	4.4000001E+0
15.6718981E-3	403.5612977E-3	151.1717281E-3	4.5000000E+0
15.8260374E-3	396.1296350E-3	152.5949897E-3	4.5999999E+0
16.0066710E-3	367.9050392E-3	154.2628904E-3	4.7000003E+0
16.1594868E-3	391.6223657E-3	155.6739319E-3	4.8000002E+0
16.3867273E-3	376.3019603E-3	157.7721821E-3	4.9000001E+0
16.5180676E-3	392.3327714E-3	158.9849269E-3	5.0000000E+0
16.6774486E-3	415.7319370E-3	160.4565892E-3	5.0999999E+0
16.8641922E-3	417.6255664E-3	162.1809066E-3	5.2000003E+0
17.1015844E-3	401.1228579E-3	164.3728935E-3	5.3000002E+0
