Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.6906881E-3	332.7569604E-3	86.7099551E-3	200.0000030E-3
8.6337377E-3	334.6922111E-3	86.1840965E-3	300.0000119E-3
8.6688028E-3	344.8587862E-3	86.5078748E-3	400.0000060E-3
8.7849457E-3	325.9036435E-3	87.5802924E-3	500.0000000E-3
8.9317168E-3	299.6653336E-3	88.9355194E-3	600.0000238E-3
9.1327758E-3	292.9034058E-3	90.7920204E-3	699.9999881E-3
9.3033650E-3	286.5416949E-3	92.3671743E-3	800.0000119E-3
9.4362572E-3	303.0105311E-3	93.5942490E-3	900.0000358E-3
9.6161059E-3	308.4346117E-3	95.2549023E-3	1.0000000E+0
9.7733708E-3	330.7434345E-3	96.7070248E-3	1.1000000E+0
9.8883377E-3	345.1818113E-3	97.7685840E-3	1.2000000E+0
10.0975305E-3	331.6171737E-3	99.7001891E-3	1.3000001E+0
10.2475709E-3	332.4678139E-3	101.0856040E-3	1.4000000E+0
10.4469494E-3	342.5787615E-3	102.9265875E-3	1.5000000E+0
10.6290568E-3	318.2270889E-3	104.6080959E-3	1.6000000E+0
10.7978041E-3	308.6498586E-3	106.1662427E-3	1.7000000E+0
10.9374593E-3	323.5956710E-3	107.4557642E-3	1.8000001E+0
11.1130109E-3	325.0041127E-3	109.0767396E-3	1.9000000E+0
11.2737047E-3	332.3169326E-3	110.5605239E-3	2.0000000E+0
11.4591813E-3	328.6550316E-3	112.2731422E-3	2.1000001E+0
11.6083776E-3	342.9248598E-3	113.6507629E-3	2.2000000E+0
11.7834795E-3	334.2198418E-3	115.2675858E-3	2.3000000E+0
11.9581083E-3	332.3040264E-3	116.8800396E-3	2.4000001E+0
12.1189837E-3	334.0072205E-3	118.3655004E-3	2.5000000E+0
12.3152829E-3	321.8989042E-3	120.1780511E-3	2.6000001E+0
12.4833906E-3	329.7412735E-3	121.7302917E-3	2.7000000E+0
12.6727626E-3	307.8410422E-3	123.4788791E-3	2.8000000E+0
12.8595900E-3	313.9022080E-3	125.2039703E-3	2.9000001E+0
13.0136706E-3	325.4064318E-3	126.6266902E-3	3.0000000E+0
13.2086497E-3	327.7748497E-3	128.4270518E-3	3.1000001E+0
13.3543673E-3	305.0861414E-3	129.7725515E-3	3.2000000E+0
13.5065932E-3	324.9090188E-3	131.1781458E-3	3.3000000E+0
13.6937396E-3	321.1196864E-3	132.9061824E-3	3.4000001E+0
13.8802016E-3	310.0640364E-3	134.6279001E-3	3.5000000E+0
14.0718897E-3	311.1479467E-3	136.3978739E-3	3.6000001E+0
14.2573490E-3	317.6635771E-3	138.1103323E-3	3.7000000E+0
14.4081028E-3	343.1558397E-3	139.5023344E-3	3.8000000E+0
14.5547450E-3	328.1687194E-3	140.8563712E-3	3.9000001E+0
14.7407137E-3	313.8462400E-3	142.5735340E-3	4.0000000E+0
14.9834092E-3	296.1760486E-3	144.8144895E-3	4.0999999E+0
15.1737158E-3	316.8524395E-3	146.5717067E-3	4.2000003E+0
15.2801801E-3	330.3044552E-3	147.5547562E-3	4.3000002E+0
15.4333328E-3	322.2136038E-3	148.9689081E-3	4.4000001E+0
15.6997540E-3	305.8533816E-3	151.4289380E-3	4.5000000E+0
15.8170415E-3	318.6921230E-3	152.5119250E-3	4.5999999E+0
15.9409255E-3	318.6898637E-3	153.6558216E-3	4.7000003E+0
16.1944353E-3	298.1910743E-3	155.9966321E-3	4.8000002E+0
16.3858597E-3	284.0653853E-3	157.7641712E-3	4.9000001E+0
16.4766081E-3	325.0964314E-3	158.6021064E-3	5.0000000E+0
16.7582693E-3	307.0367033E-3	161.2028556E-3	5.0999999E+0
16.8526835E-3	314.5850888E-3	162.0746398E-3	5.2000003E+0
17.0394271E-3	357.4431186E-3	163.7989572E-3	5.3000002E+0
