Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3140766E-3	316.9047222E-3	83.2324708E-3	200.0000030E-3
8.3142538E-3	318.2664264E-3	83.2341075E-3	300.0000119E-3
8.3640953E-3	319.9710493E-3	83.6943237E-3	400.0000060E-3
8.4881128E-3	320.8340333E-3	84.8394531E-3	500.0000000E-3
8.5756182E-3	314.7727490E-3	85.6474442E-3	600.0000238E-3
8.7356378E-3	321.1583584E-3	87.1250024E-3	699.9999881E-3
8.9315320E-3	286.3005635E-3	88.9338133E-3	800.0000119E-3
9.1020184E-3	295.2418641E-3	90.5080181E-3	900.0000358E-3
9.2659881E-3	316.8846120E-3	92.0220509E-3	1.0000000E+0
9.4112845E-3	303.5980343E-3	93.3636612E-3	1.1000000E+0
9.5824217E-3	322.5689202E-3	94.9438754E-3	1.2000000E+0
9.7441446E-3	321.5733515E-3	96.4371614E-3	1.3000001E+0
9.9433650E-3	323.8936009E-3	98.2766850E-3	1.4000000E+0
10.0750108E-3	309.3854886E-3	99.4922515E-3	1.5000000E+0
10.2495770E-3	303.1092461E-3	101.1041276E-3	1.6000000E+0
10.4002158E-3	313.7889929E-3	102.4950671E-3	1.7000000E+0
10.6009669E-3	315.7408341E-3	104.3487245E-3	1.8000001E+0
10.7755984E-3	330.7187983E-3	105.9612041E-3	1.9000000E+0
10.9255076E-3	337.2395509E-3	107.3454068E-3	2.0000000E+0
11.1209649E-3	326.8902677E-3	109.1501839E-3	2.1000001E+0
11.2736355E-3	314.1612595E-3	110.5598843E-3	2.2000000E+0
11.4295529E-3	326.1649235E-3	111.9995649E-3	2.3000000E+0
11.5864691E-3	315.8527699E-3	113.4484685E-3	2.4000001E+0
11.7603135E-3	329.2456866E-3	115.0536800E-3	2.5000000E+0
11.9485208E-3	329.3899703E-3	116.7915123E-3	2.6000001E+0
12.1045186E-3	341.0582034E-3	118.2319357E-3	2.7000000E+0
12.3142092E-3	345.7969890E-3	120.1681368E-3	2.8000000E+0
12.4893988E-3	320.3119739E-3	121.7857696E-3	2.9000001E+0
12.6433912E-3	320.5035441E-3	123.2076745E-3	3.0000000E+0
12.8336140E-3	318.7847409E-3	124.9641181E-3	3.1000001E+0
12.9871549E-3	334.5860319E-3	126.3818551E-3	3.2000000E+0
13.1476571E-3	324.1949249E-3	127.8638701E-3	3.3000000E+0
13.3342599E-3	320.2243802E-3	129.5868876E-3	3.4000001E+0
13.5260587E-3	314.4043201E-3	131.3578828E-3	3.5000000E+0
13.6891950E-3	316.5486910E-3	132.8642194E-3	3.6000001E+0
13.8673203E-3	325.9748131E-3	134.5089592E-3	3.7000000E+0
14.0170607E-3	341.5845804E-3	135.8916041E-3	3.8000000E+0
14.2084986E-3	342.6473312E-3	137.6592670E-3	3.9000001E+0
14.3795973E-3	326.5512775E-3	139.2391253E-3	4.0000000E+0
14.5393297E-3	320.8275338E-3	140.7140321E-3	4.0999999E+0
14.7127624E-3	329.7516830E-3	142.3154419E-3	4.2000003E+0
14.9256277E-3	291.4257444E-3	144.2809579E-3	4.3000002E+0
15.1134975E-3	303.1956895E-3	146.0156745E-3	4.4000001E+0
15.2727596E-3	320.0628367E-3	147.4862380E-3	4.5000000E+0
15.4622539E-3	295.6835310E-3	149.2359551E-3	4.5999999E+0
15.6354363E-3	290.0666989E-3	150.8350539E-3	4.7000003E+0
15.8269664E-3	298.7783041E-3	152.6035680E-3	4.8000002E+0
16.0123452E-3	298.6639026E-3	154.3152836E-3	4.9000001E+0
16.1849718E-3	302.4006407E-3	155.9092499E-3	5.0000000E+0
16.3400361E-3	303.7517217E-3	157.3410537E-3	5.0999999E+0
16.5063315E-3	305.6534755E-3	158.8765607E-3	5.2000003E+0
16.7134501E-3	317.8417098E-3	160.7890128E-3	5.3000002E+0
