Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
NaN	NaN	NaN	0.0000000E+0
NaN	NaN	NaN	100.0000015E-3
8.3162587E-3	-472.4363220E-3	83.2526192E-3	200.0000030E-3
8.3237441E-3	-477.4832080E-3	83.3217373E-3	300.0000119E-3
8.4073407E-3	-450.0265230E-3	84.0936354E-3	400.0000060E-3
8.5397698E-3	-458.0031740E-3	85.3164339E-3	500.0000000E-3
8.7027329E-3	-453.4061290E-3	86.8211714E-3	600.0000238E-3
8.8310860E-3	-429.1777510E-3	88.0063346E-3	699.9999881E-3
8.9777427E-3	-437.8721325E-3	89.3605055E-3	800.0000119E-3
9.1269910E-3	-401.2494653E-3	90.7386059E-3	900.0000358E-3
9.3307817E-3	-414.8239296E-3	92.6203299E-3	1.0000000E+0
9.4649359E-3	-448.7905347E-3	93.8590572E-3	1.1000000E+0
9.6410590E-3	-459.0543289E-3	95.4853096E-3	1.2000000E+0
9.8085265E-3	-462.0817961E-3	97.0316387E-3	1.3000001E+0
9.9376808E-3	-430.3866580E-3	98.2241990E-3	1.4000000E+0
10.1395788E-3	-472.5727426E-3	100.0884465E-3	1.5000000E+0
10.3164471E-3	-493.7272130E-3	101.7215801E-3	1.6000000E+0
10.4561705E-3	-467.1891034E-3	103.0117309E-3	1.7000000E+0
10.6681956E-3	-447.9238315E-3	104.9694887E-3	1.8000001E+0
10.8054933E-3	-391.5910016E-3	106.2372420E-3	1.9000000E+0
10.9802209E-3	-406.8994139E-3	107.8506089E-3	2.0000000E+0
11.1593015E-3	-439.2894207E-3	109.5041694E-3	2.1000001E+0
11.3083420E-3	-454.4208351E-3	110.8803509E-3	2.2000000E+0
11.5007447E-3	-441.8492334E-3	112.6569223E-3	2.3000000E+0
11.6548348E-3	-423.4055448E-3	114.0797299E-3	2.4000001E+0
11.8365768E-3	-435.6399926E-3	115.7578648E-3	2.5000000E+0
11.9940070E-3	-427.2714475E-3	117.2115141E-3	2.6000001E+0
12.1747641E-3	-427.6490530E-3	118.8805549E-3	2.7000000E+0
12.3525012E-3	-433.3572546E-3	120.5217096E-3	2.8000000E+0
12.5191513E-3	-430.0112190E-3	122.0604921E-3	2.9000001E+0
12.7440784E-3	-451.7371914E-3	124.1373816E-3	3.0000000E+0
12.8550526E-3	-460.2943407E-3	125.1620743E-3	3.1000001E+0
13.0422839E-3	-463.8090383E-3	126.8908949E-3	3.2000000E+0
13.1896445E-3	-454.1527307E-3	128.2515653E-3	3.3000000E+0
13.3950648E-3	-419.5007636E-3	130.1483361E-3	3.4000001E+0
13.5415221E-3	-423.1569389E-3	131.5006655E-3	3.5000000E+0
13.7165922E-3	-441.6870864E-3	133.1171944E-3	3.6000001E+0
13.8886835E-3	-443.2579434E-3	134.7062190E-3	3.7000000E+0
14.0701926E-3	-443.6075855E-3	136.3822029E-3	3.8000000E+0
14.2345064E-3	-430.3873234E-3	137.8994132E-3	3.9000001E+0
14.4172741E-3	-434.7445729E-3	139.5870188E-3	4.0000000E+0
14.6255217E-3	-483.3517357E-3	141.5098959E-3	4.0999999E+0
14.8082542E-3	-455.2549892E-3	143.1971765E-3	4.2000003E+0
14.9853488E-3	-442.2538015E-3	144.8323992E-3	4.3000002E+0
15.1729416E-3	-443.2839414E-3	146.5645573E-3	4.4000001E+0
15.3050276E-3	-404.1205525E-3	147.7841885E-3	4.5000000E+0
15.5102023E-3	-435.4789149E-3	149.6786913E-3	4.5999999E+0
15.6942820E-3	-451.2279556E-3	151.3784122E-3	4.7000003E+0
15.8177454E-3	-462.7180972E-3	152.5184245E-3	4.8000002E+0
16.0187875E-3	-433.3043714E-3	154.3747695E-3	4.9000001E+0
16.2447638E-3	-439.2045300E-3	156.4613464E-3	5.0000000E+0
16.4195277E-3	-453.8573903E-3	158.0750485E-3	5.0999999E+0
