bfield	diode	hall	time 		
324.1122634E-3	-4.0737812E+0	2.9991899E+0	8.8000002E+0
324.1048893E-3	-4.0616435E+0	2.9991218E+0	8.9000006E+0
324.1141684E-3	-4.0661123E+0	2.9992075E+0	9.0000000E+0
324.0715950E-3	-4.0740978E+0	2.9988144E+0	9.1000004E+0
324.0965833E-3	-4.0851077E+0	2.9990451E+0	9.1999998E+0
324.0743022E-3	-4.0901491E+0	2.9988394E+0	9.3000002E+0
324.0998212E-3	-4.0990627E+0	2.9990750E+0	9.4000006E+0
324.1041585E-3	-4.1054823E+0	2.9991150E+0	9.5000000E+0
324.0812032E-3	-4.1083391E+0	2.9989031E+0	9.6000004E+0
324.0967464E-3	-4.1143205E+0	2.9990466E+0	9.6999998E+0
324.1083031E-3	-4.1115194E+0	2.9991533E+0	9.8000002E+0
324.1184979E-3	-4.1116481E+0	2.9992474E+0	9.9000006E+0
324.1068602E-3	-4.1145647E+0	2.9991400E+0	10.0000000E+0
324.0793026E-3	-4.1215679E+0	2.9988855E+0	10.1000004E+0
324.1109516E-3	-4.1041192E+0	2.9991778E+0	10.1999998E+0
324.0904594E-3	-4.0886219E+0	2.9989885E+0	10.3000002E+0
324.1046077E-3	-4.1036667E+0	2.9991192E+0	10.4000006E+0
324.1136488E-3	-4.1026667E+0	2.9992027E+0	10.5000000E+0
324.1057172E-3	-4.1049294E+0	2.9991294E+0	10.6000004E+0
324.0925359E-3	-4.1006480E+0	2.9990077E+0	10.6999998E+0
324.1241436E-3	-4.1088315E+0	2.9992996E+0	10.8000002E+0
324.1043261E-3	-4.0951127E+0	2.9991166E+0	10.9000006E+0
324.0863768E-3	-4.0852022E+0	2.9989508E+0	11.0000000E+0
324.1112243E-3	-4.0826047E+0	2.9991803E+0	11.1000004E+0
324.1177359E-3	-4.0867155E+0	2.9992404E+0	11.1999998E+0
324.0890572E-3	-4.0770647E+0	2.9989756E+0	11.3000002E+0
324.0979559E-3	-4.0818576E+0	2.9990578E+0	11.4000006E+0
324.1008681E-3	-4.0990860E+0	2.9990847E+0	11.5000000E+0
324.1081624E-3	-4.1028939E+0	2.9991520E+0	11.6000004E+0
324.0914817E-3	-4.0802862E+0	2.9989980E+0	11.6999998E+0
324.0927119E-3	-4.0831468E+0	2.9990093E+0	11.8000002E+0
324.1184979E-3	-4.0814740E+0	2.9992474E+0	11.9000006E+0
324.1037982E-3	-4.0779192E+0	2.9991117E+0	12.0000000E+0
324.1245246E-3	-4.0659613E+0	2.9993031E+0	12.1000004E+0
324.1181225E-3	-4.0829479E+0	2.9992440E+0	12.1999998E+0
324.1452024E-3	-4.0780980E+0	2.9994940E+0	12.3000002E+0
324.1372333E-3	-4.0742119E+0	2.9994204E+0	12.4000006E+0
324.1308278E-3	-4.0658896E+0	2.9993613E+0	12.5000000E+0
