angle,B,strength,E_i,v_i,E_f,v_f,id
0.12107238955275978,0.7211605802901451,0.7543048068595997,-15.525206014321258,[ 0.0049073  -0.11921354  0.96559302  0.23107177],-24.848528426029137,[-6.72846403e-04  1.93165679e-02 -2.30431293e-01  9.72896622e-01],1->0
0.12264475824825018,0.11165582791395698,1.48498209544173e-05,10.370540755957641,[9.99739979e-01 2.27975829e-02 4.94724853e-04 1.75895623e-05],1.0702159414141672,[-1.03592109e-04  2.90714301e-03  3.98480534e-02  9.99201516e-01],3->2
0.12264475824825018,0.03721860930465233,0.013205431182039913,4.160176555560536,[-5.15293886e-06  1.44759528e-04  1.06275947e-02  9.99943515e-01],-5.178506571900169,[ 0.00880819 -0.99267098 -0.1205185   0.00142465],2->1
0.12264475824825018,0.38539269634817414,0.4188269415973645,-0.25280774626647035,[ 0.05143297 -0.99104386 -0.12245245 -0.01386056],-9.57291114123752,[ 0.00294052 -0.08063818  0.56057563  0.82416249],2->1
0.12264475824825018,0.07643821910955478,0.7325708240822659,2.5301501567731517,[-3.16365274e-05  8.88317241e-04  2.43880527e-02  9.99702172e-01],-6.809056287940433,[ 0.001738   -0.12040321  0.99243088 -0.02410362],2->0
0.12264475824825018,0.3173586793396699,0.8265249706717221,-1.2108609645873505,[ 0.0463057  -0.99117232 -0.12286874 -0.01834336],-10.539553672039348,[ 0.00357596 -0.11198715  0.94882084 -0.29527123],2->0
0.12264475824825018,0.7207603801900951,0.754419918784207,-15.512420030847249,[ 0.00503393 -0.1207139   0.96470765  0.23397002],-24.83892459218123,[-6.99006534e-04  1.98120952e-02 -2.33304779e-01  9.72201560e-01],1->0
0.12421712694374056,0.7203601800900451,0.754536608273881,-15.499548251429715,[ 0.00516213 -0.12221251  0.96381202  0.23686249],-24.82940714942706,[-7.25812961e-04  2.03133208e-02 -2.36171893e-01  9.71498677e-01],1->0
0.12421712694374056,0.31695847923961984,0.8241152205993405,-1.2149918374278699,[ 0.04686132 -0.99093876 -0.12445311 -0.01886312],-10.540913134443088,[ 0.003661   -0.11328038  0.94829204 -0.29647319],2->0
0.12421712694374056,0.07643821910955478,0.7321366141380823,2.530913253798781,[-3.28629973e-05  9.10935493e-04  2.46981005e-02  9.99694540e-01],-6.809798188611141,[ 0.0017819  -0.12189026  0.99224195 -0.02440285],2->0
0.12421712694374056,0.03721860930465233,0.0135346549203107,4.160509175324558,[-5.35332671e-06  1.48464489e-04  1.07629392e-02  9.99942067e-01],-5.178238382770344,[ 0.0089193  -0.99248774 -0.12200984  0.00146067],2->1
0.12421712694374056,0.11165582791395698,1.5613936284945815e-05,10.36982737053063,[9.99733280e-01 2.30892026e-02 5.07482146e-04 1.82764579e-05],1.071462149424139,[-1.07588398e-04  2.98057549e-03  4.03543280e-02  9.99180981e-01],3->2
0.12421712694374056,0.3857928964482241,0.4231694440416888,-0.24552472073931544,[ 0.05211592 -0.99080898 -0.1240153  -0.01420198],-9.570560291393884,[ 0.00303398 -0.0820973   0.56300916  0.82235729],2->1
0.12578949563923095,0.719559779889945,0.7546584911502904,-15.480791272928938,[ 0.00529116 -0.1237067   0.96286824  0.23990293],-24.803370928549445,[-7.53904530e-04  2.08378217e-02 -2.39185380e-01  9.70750004e-01],1->0
0.12578949563923095,0.112056028014007,1.6761927971906688e-05,10.385826673797876,[9.99724953e-01 2.34466178e-02 5.23076808e-04 1.90786070e-05],1.056172065450144,[-1.13116137e-04  3.09399536e-03  4.10625617e-02  9.99151780e-01],3->2
