angle,B,strength,E_i,v_i,E_f,v_f,id
0.0,0.1085427135678392,0.0,10.267491457286432,[1. 0. 0. 0.],1.1525085427135675,[0. 0. 0. 1.],3->2
0.0,0.03618090452261307,0.0,4.1908361809045225,[0. 0. 0. 1.],-5.2036120603015075,[0. 1. 0. 0.],2->1
0.0,0.36984924623115584,0.0,-0.5335899497487429,[0. 1. 0. 0.],-9.819230150753771,[0. 0. 0. 1.],2->1
0.0,0.07236180904522614,0.7499999999999999,2.671672361809044,[0. 0. 0. 1.],-6.722775879396985,[0. 0. 1. 0.],2->0
0.0,0.3296482412060302,1.0,-1.096243216080401,[0. 1. 0. 0.],-10.323756783919599,[0. 0. 1. 0.],2->0
0.0,0.7396984924623117,0.7499999999999999,-16.062820100502513,[0. 0. 1. 0.],-25.348460301507544,[0. 0. 0. 1.],1->0
0.015866629563584814,0.1085427135678392,3.6212782598570907e-09,10.267038342451798,[9.99995831e-01 2.88751122e-03 7.95592077e-06 3.64430915e-08],1.1532901383541017,[-2.05788571e-07  4.49242502e-05  4.98066770e-03  9.99987595e-01],3->2
0.015866629563584814,0.03618090452261307,0.00022721732483265772,4.191046008788203,[-1.04760196e-08  2.28698404e-06  1.33711942e-03  9.99999106e-01],-5.203436465351967,[ 1.11918076e-03 -9.99873566e-01 -1.58618831e-02  2.34959596e-05],2->1
0.015866629563584814,0.36984924623115584,0.02045804043142158,-0.5325644736172833,[ 6.53335967e-03 -9.99852746e-01 -1.58663946e-02 -2.43089176e-04],-9.798710206349439,[ 1.05172365e-05 -2.29462343e-03  1.29412507e-01  9.91588190e-01],2->1
0.015866629563584814,0.07236180904522614,0.7497075587119535,2.672137255040026,[-5.91778876e-08  1.29188263e-05  2.96249846e-03  9.99995612e-01],-6.723240662536445,[-2.85341649e-05  1.58616489e-02 -9.99869809e-01  2.96192085e-03],2->0
0.015866629563584814,0.3296482412060302,0.9946458064295272,-1.0952793191817607,[ 6.14056120e-03 -9.99855216e-01 -1.58669375e-02 -2.85994163e-04],-10.332793081087432,[ 6.71412071e-05 -1.58241973e-02  9.98223325e-01 -5.74437482e-02],2->0
0.015866629563584814,0.7396984924623117,0.7500718865714623,-16.058015086089878,[ 8.54347690e-05 -1.58623814e-02  9.99405288e-01  3.06177773e-02],-25.35326539691754,[-1.53585674e-06  3.35336736e-04 -3.06163108e-02  9.99531155e-01],1->0
0.03173325912716963,0.7396984924623117,0.7502874390800452,-16.04363692468471,[ 3.41591803e-04 -3.16994092e-02  9.97628004e-01  6.11015206e-02],-25.367644772710896,[-1.22519137e-05  1.33775804e-03 -6.10898393e-02  9.98131375e-01],1->0
0.03173325912716963,0.3296482412060302,0.9792712274377795,-1.0923845151318727,[ 0.01227906 -0.99942021 -0.0317357  -0.00114428],-10.35945283608964,[ 2.66265861e-04 -3.14039370e-02  9.93137472e-01 -1.12657372e-01],2->0
0.03173325912716963,0.07236180904522614,0.748832294948845,2.673531734659204,[-4.73267672e-07  5.16432298e-05  5.92379992e-03  9.99982453e-01],-6.724633493186051,[-1.14013227e-04  3.16934833e-02 -9.99480102e-01  5.91918721e-03],2->0
0.03173325912716963,0.1085427135678392,5.7856182179788597e-08,10.265679060466976,[9.99983326e-01 5.77469624e-03 3.18224393e-05 2.91595188e-07],1.155634525068978,[-1.64519332e-06  1.79517764e-04  9.95915499e-03  9.99950390e-01],3->2
0.03173325912716963,0.03618090452261307,0.0009072936977959133,4.191675423020801,[-8.37975866e-08  9.14431130e-06  2.67380365e-03  9.99996425e-01],-5.202910310109824,[ 2.23743048e-03 -9.99495067e-01 -3.16953503e-02  9.38873603e-05],2->1
0.03173325912716963,0.36984924623115584,0.07071636692559771,-0.5294856421090454,[ 1.30646633e-02 -9.99410571e-01 -3.17313612e-02 -9.72482238e-04],-9.741303194031394,[ 7.84452599e-05 -8.54112146e-03  2.39287498e-01  9.70911189e-01],2->1
