Magnetic Field (T)	Diode Voltage (V)	Hall probe (V)	Acquisition Time 		
Tesla	Volts	Volts	Seconds		
325.5815649E-3	-577.8110911E-3	3.0127568E+0	216.6666718E+0
325.6470517E-3	-574.7893381E-3	3.0133615E+0	217.0000000E+0
325.7259405E-3	-500.5789955E-3	3.0140899E+0	217.3333435E+0
325.8153007E-3	-450.5843926E-3	3.0149151E+0	217.6666718E+0
325.8977476E-3	-487.2214444E-3	3.0156763E+0	218.0000000E+0
325.9669446E-3	-400.2994776E-3	3.0163153E+0	218.3333435E+0
325.9779548E-3	-67.1255961E-3	3.0164169E+0	218.6666718E+0
326.0359956E-3	37.5521881E-3	3.0169529E+0	219.0000000E+0
326.0787271E-3	272.7053100E-3	3.0173474E+0	219.3333435E+0
326.1542885E-3	365.5008084E-3	3.0180451E+0	219.6666718E+0
326.2068053E-3	569.0073303E-3	3.0185301E+0	220.0000000E+0
326.2729600E-3	714.8052017E-3	3.0191409E+0	220.3333435E+0
326.3456609E-3	682.2408492E-3	3.0198122E+0	220.6666718E+0
326.3718878E-3	836.6606108E-3	3.0200544E+0	221.0000000E+0
326.4535373E-3	853.1945458E-3	3.0208083E+0	221.3333435E+0
326.5286109E-3	814.0495494E-3	3.0215015E+0	221.6666718E+0
326.5647184E-3	1.1011989E+0	3.0218349E+0	222.0000000E+0
326.6448887E-3	1.0936992E+0	3.0225751E+0	222.3333435E+0
326.7026403E-3	1.1851750E+0	3.0231084E+0	222.6666718E+0
326.7813000E-3	1.1918480E+0	3.0238347E+0	223.0000000E+0
326.9887967E-3	571.4126485E-3	3.0257507E+0	223.3333435E+0
327.2493661E-3	-747.5553158E-3	3.0281567E+0	223.6666718E+0
327.4943357E-3	-2.0537448E+0	3.0304186E+0	224.0000000E+0
327.6332327E-3	-2.4658813E+0	3.0317011E+0	224.3333435E+0
327.6907902E-3	-2.2538779E+0	3.0322326E+0	224.6666718E+0
327.7504780E-3	-2.1334787E+0	3.0327837E+0	225.0000000E+0
327.7858946E-3	-1.7765610E+0	3.0331108E+0	225.3333435E+0
327.7678822E-3	-1.1984682E+0	3.0329444E+0	225.6666718E+0
327.8330717E-3	-1.0705886E+0	3.0335464E+0	226.0000000E+0
327.8783813E-3	-870.1716195E-3	3.0339647E+0	226.3333435E+0
327.9458579E-3	-764.1566706E-3	3.0345878E+0	226.6666718E+0
328.0175289E-3	-701.7179266E-3	3.0352496E+0	227.0000000E+0
328.0370016E-3	-294.5457804E-3	3.0354294E+0	227.3333435E+0
328.0964036E-3	-197.9400828E-3	3.0359779E+0	227.6666718E+0
328.1703369E-3	-166.1182129E-3	3.0366605E+0	228.0000000E+0
328.2441101E-3	-243.5475328E-3	3.0373417E+0	228.3333435E+0
328.2872795E-3	18.7716391E-3	3.0377403E+0	228.6666718E+0
328.3798290E-3	-95.3918083E-3	3.0385949E+0	229.0000000E+0
328.4552470E-3	-179.6786872E-3	3.0392913E+0	229.3333435E+0
328.5267625E-3	-52.0882346E-3	3.0399516E+0	229.6666718E+0
328.6193644E-3	-257.2438297E-3	3.0408067E+0	230.0000000E+0
328.6989997E-3	-327.1222414E-3	3.0415420E+0	230.3333435E+0
328.7448496E-3	-166.5957987E-3	3.0419654E+0	230.6666718E+0
328.8082505E-3	-63.3946153E-3	3.0425508E+0	231.0000000E+0
328.8371000E-3	424.1245667E-3	3.0428172E+0	231.3333435E+0
